date,ticker,close,low,high,volume,variation
2022-01-03,AFMA,1360.0,1360.0,1360.0,1.0,0.0
2022-01-04,AFMA,1360.0,1360.0,1360.0,1.0,0.0
2022-01-05,AFMA,1360.0,1360.0,1360.0,1.0,0.0
2022-01-06,AFMA,1360.0,1360.0,1360.0,1.0,0.0
2022-01-07,AFMA,1368.0,1336.0,1368.0,30.0,0.59
2022-01-10,AFMA,1361.0,1361.0,1361.0,1.0,-0.51
2022-01-12,AFMA,1350.0,1350.0,1350.0,203.0,-0.81
2022-01-13,AFMA,1350.0,1350.0,1350.0,1.0,0.0
2022-01-14,AFMA,1350.0,1350.0,1350.0,1.0,0.0
2022-01-17,AFMA,1350.0,1350.0,1350.0,1.0,0.0
2022-01-18,AFMA,1350.0,1350.0,1350.0,1.0,0.0
2022-01-19,AFMA,1375.0,1350.0,1375.0,27.0,1.85
2022-01-20,AFMA,1404.0,1404.0,1404.0,1.0,2.11
2022-01-21,AFMA,1397.0,1397.0,1397.0,1.0,-0.5
2022-01-24,AFMA,1397.0,1397.0,1397.0,1.0,0.0
2022-01-25,AFMA,1397.0,1397.0,1397.0,1.0,0.0
2022-01-26,AFMA,1397.0,1397.0,1397.0,1.0,0.0
2022-01-27,AFMA,1397.0,1397.0,1397.0,1.0,0.0
2022-01-28,AFMA,1397.0,1397.0,1397.0,1.0,0.0
2022-01-31,AFMA,1397.0,1397.0,1397.0,1.0,0.0
2022-02-01,AFMA,1396.0,1396.0,1396.0,1.0,-0.07
2022-02-02,AFMA,1395.0,1395.0,1395.0,1.0,-0.07
2022-02-03,AFMA,1395.0,1395.0,1395.0,1.0,0.0
2022-02-04,AFMA,1395.0,1395.0,1395.0,1.0,0.0
2022-02-07,AFMA,1395.0,1395.0,1395.0,2.0,0.0
2022-02-08,AFMA,1395.0,1395.0,1395.0,1.0,0.0
2022-02-09,AFMA,1395.0,1395.0,1395.0,1.0,0.0
2022-02-10,AFMA,1395.0,1395.0,1395.0,1.0,0.0
2022-02-11,AFMA,1390.0,1390.0,1390.0,7.0,-0.36
2022-02-14,AFMA,1389.0,1389.0,1389.0,1.0,-0.07
2022-02-15,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-16,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-17,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-18,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-21,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-22,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-23,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-24,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-25,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-02-28,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-03-01,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-03-02,AFMA,1409.0,1409.0,1409.0,1.0,1.44
2022-03-03,AFMA,1389.0,1389.0,1389.0,1.0,-1.42
2022-03-04,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-03-07,AFMA,1389.0,1389.0,1389.0,1.0,0.0
2022-03-08,AFMA,1387.0,1387.0,1387.0,1.0,-0.14
2022-03-09,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-10,AFMA,1380.0,1380.0,1380.0,1.0,-0.5
2022-03-11,AFMA,1387.0,1387.0,1387.0,1.0,0.51
2022-03-14,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-15,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-16,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-17,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-18,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-21,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-22,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-23,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-24,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-25,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-28,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-29,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-30,AFMA,1387.0,1387.0,1387.0,1.0,0.0
2022-03-31,AFMA,1388.0,1388.0,1388.0,1.0,0.07
2022-04-01,AFMA,1390.0,1390.0,1390.0,1.0,0.14
2022-04-04,AFMA,1394.0,1394.0,1394.0,1.0,0.29
2022-04-05,AFMA,1396.0,1396.0,1396.0,1.0,0.14
2022-04-06,AFMA,1399.0,1399.0,1399.0,1.0,0.21
2022-04-07,AFMA,1400.0,1400.0,1400.0,19.0,0.07
2022-04-08,AFMA,1399.0,1399.0,1399.0,1.0,-0.07
2022-04-11,AFMA,1399.0,1399.0,1399.0,1.0,0.0
2022-04-12,AFMA,1399.0,1399.0,1399.0,1.0,0.0
2022-04-13,AFMA,1372.0,1372.0,1372.0,14.0,-1.93
2022-04-14,AFMA,1372.0,1372.0,1372.0,150.0,0.0
2022-04-15,AFMA,1308.0,1308.0,1308.0,150.0,-4.66
2022-04-18,AFMA,1335.0,1335.0,1335.0,1.0,2.06
2022-04-19,AFMA,1355.0,1355.0,1355.0,1.0,1.5
2022-04-20,AFMA,1355.0,1355.0,1355.0,1.0,0.0
2022-04-21,AFMA,1350.0,1350.0,1350.0,1.0,-0.37
2022-04-22,AFMA,1359.0,1359.0,1359.0,2.0,0.67
2022-04-25,AFMA,1355.0,1355.0,1355.0,8.0,-0.29
2022-04-26,AFMA,1360.0,1360.0,1360.0,5.0,0.37
