date,ticker,close,low,high,volume,variation
02/01/2024,BCP,276.95,275.0,276.95,7693,0.71
03/01/2024,BCP,275.0,274.5,276.95,44584,-0.7
04/01/2024,BCP,276.0,275.0,276.0,25820,0.36
05/01/2024,BCP,279.95,275.05,279.95,29925,1.43
08/01/2024,BCP,280.0,277.0,280.0,30851,0.02
09/01/2024,BCP,282.95,278.0,283.0,57578,1.05
10/01/2024,BCP,284.5,282.0,288.0,103671,0.55
02/01/2024,CIH,350.0,341.5,351.0,1743,-0.44
03/01/2024,CIH,347.5,347.5,350.0,6693,-0.71
04/01/2024,CIH,350.0,349.0,350.0,1106,0.72
05/01/2024,CIH,347.5,347.5,350.0,683,-0.71
08/01/2024,CIH,342.5,342.0,348.8,38787,-1.44
09/01/2024,CIH,342.7,342.5,345.0,45541,0.06
10/01/2024,CIH,344.0,340.0,345.0,1148,0.38
02/01/2024,BOA,180.0,180.0,183.0,2099,0.28
03/01/2024,BOA,180.0,178.05,180.0,6446,0.0
04/01/2024,BOA,180.0,180.0,181.9,627,0.0
05/01/2024,BOA,182.0,179.6,182.0,1750,1.11
08/01/2024,BOA,182.9,179.0,182.9,2196,0.49
09/01/2024,BOA,183.0,181.0,183.0,4165,0.05
10/01/2024,BOA,183.4,181.05,183.4,94459,0.22
